	prompt
2733	"Translate following English dialogue to Hindi.
Source Sentence:
There will be no need for that.
Target:
इसकी कोई ज़रूरत नहीं होगी।"
2734	"Translate following English dialogue to Hindi.
Source Sentence:
I will be ready in ten minutes so I hope that the cab can be available by then.
Target:
मैं दस मिनट में तैयार हो जाऊँगी तो मुझे उम्मीद है कि कैब तब तक आ जाएगी।"
2735	"Translate following English dialogue to Hindi.
Source Sentence:
Ok, your cab is expected to reach your location in 15 minutes.
Target:
ओके, आपकी कैब 15 मिनट में आपकी लोकेशन पर पहुँच सकती है।"
2736	"Translate following English dialogue to Hindi.
Source Sentence:
Thank you for using our cab service.
Target:
हमारी कैब सर्विस का इस्तेमाल करने के लिए धन्यवाद।"
2737	"Translate following English dialogue to Hindi.
Source Sentence:
Hello sir, I am Adarsh's mother.
Target:
हैलो सर, मैं आदर्श की माँ हूँ।"
2738	"Translate following English dialogue to Hindi.
Source Sentence:
I am here to discuss some things about my son.
Target:
मैं यहाँ अपने बेटे के बारे में कुछ बात करना चाहती हूँ।"
2739	"Translate following English dialogue to Hindi.
Source Sentence:
As you are his class teacher, I felt it would be best if I discuss my worries with you.
Target:
आप उसके क्लास टीचर हैं, इसलिए मुझे लगा कि अगर मैं अपनी परेशानियों के बारे में आपसे बात करूँ तो अच्छा रहेगा।"
2740	"Translate following English dialogue to Hindi.
Source Sentence:
Please make yourself comfortable.
Target:
आप आराम से बैठिए।"
2741	"Translate following English dialogue to Hindi.
Source Sentence:
What would you like to discuss?
Target:
आप किस बारे में बात करना चाहती हैं?"
2742	"Translate following English dialogue to Hindi.
Source Sentence:
I am worried about my son's growing addiction to mobile phones and video games.
Target:
मुझे अपने बेटे की मोबाइल फ़ोन और वीडियो गेम की बढ़ती लत को लेकर चिंता है।"
2743	"Translate following English dialogue to Hindi.
Source Sentence:
He is always busy playing games on the phone.
Target:
वह हमेशा फ़ोन पर गेम खेलता रहता है।"
